Distance_km,Traffic_Level,Weather,Road_Type,Vehicle_Type,Avg_Speed_kmph,Number_of_Signals,Day_of_Week,Time_of_Day,Travel_Time_Minutes
39.3,High,Cloudy,City,Bus,15.0,21,Thursday,Evening,177.3
34.3,Medium,Clear,Highway,Bike,85.0,7,Monday,Afternoon,29.6
31.5,High,Cloudy,Highway,Car,50.8,8,Thursday,Night,48.5
44.8,High,Rain,City,Car,15.0,23,Wednesday,Peak Hour,198.6
5.8,Low,Clear,Highway,Car,75.1,3,Sunday,Afternoon,5.0
17.9,Low,Clear,City,Bike,58.8,13,Wednesday,Afternoon,21.6
13.9,Low,Fog,City,Car,36.8,12,Thursday,Peak Hour,34.1
49.4,Low,Clear,City,Bike,58.7,22,Sunday,Evening,54.4
20.7,Low,Rain,City,Car,43.9,14,Sunday,Evening,33.3
37.2,Medium,Clear,City,Bike,44.2,19,Sunday,Afternoon,62.0
34.9,Low,Clear,City,Bike,45.5,18,Saturday,Peak Hour,61.5
12.2,Low,Rain,Highway,Bike,67.3,4,Wednesday,Evening,17.7
13.5,High,Clear,Highway,Bike,71.1,6,Tuesday,Night,25.4
15.5,Low,Cloudy,City,Car,48.9,12,Tuesday,Night,25.7
21.7,High,Clear,City,Car,26.0,16,Wednesday,Afternoon,58.5
13.2,Low,Cloudy,City,Bike,57.3,12,Wednesday,Afternoon,15.2
2.9,Low,Clear,City,Car,46.1,9,Saturday,Night,5.6
44.2,Medium,Clear,Rural,Car,51.6,9,Tuesday,Afternoon,56.3
48.3,Medium,Fog,Rural,Car,37.3,10,Wednesday,Night,89.3
18.4,High,Clear,City,Car,22.6,15,Wednesday,Peak Hour,67.8
18.2,Medium,Cloudy,Highway,Car,63.7,5,Saturday,Evening,20.1
2.3,High,Clear,City,Bus,15.0,11,Saturday,Night,19.7
34.7,Low,Rain,City,Car,42.3,18,Thursday,Night,59.0
41.6,Low,Clear,City,Bike,59.2,20,Saturday,Night,46.9
9.0,High,Fog,City,Car,15.9,13,Monday,Afternoon,49.1
9.7,High,Clear,City,Bike,36.1,13,Tuesday,Morning,29.1
39.9,High,Clear,City,Car,23.8,21,Thursday,Afternoon,116.3
31.6,Medium,Clear,Highway,Bus,61.9,7,Monday,Night,33.5
4.2,Medium,Clear,City,Bus,26.5,9,Wednesday,Evening,16.4
31.9,High,Cloudy,Highway,Car,58.0,9,Wednesday,Night,41.2
16.8,Low,Clear,Rural,Bus,52.1,5,Thursday,Afternoon,20.6
19.7,High,Rain,Highway,Bus,41.8,7,Saturday,Evening,39.8
38.9,High,Clear,Highway,Bike,67.4,10,Sunday,Morning,46.2
40.9,Medium,Clear,Highway,Bike,77.8,8,Sunday,Night,35.5
21.2,High,Cloudy,City,Car,23.1,16,Wednesday,Evening,66.4
47.5,High,Cloudy,City,Bike,26.0,24,Sunday,Morning,124.5
21.5,Low,Clear,Highway,Car,80.0,5,Friday,Afternoon,19.6
39.0,High,Clear,Highway,Car,55.9,10,Thursday,Night,54.7
25.2,Medium,Clear,City,Bus,27.6,15,Monday,Evening,61.9
45.1,High,Cloudy,Highway,Car,53.5,10,Thursday,Morning,57.1
45.6,Low,Cloudy,City,Bike,40.1,21,Tuesday,Peak Hour,85.2
6.2,High,Clear,City,Bike,25.2,12,Saturday,Night,27.1
47.0,Medium,Rain,City,Bus,15.0,21,Saturday,Peak Hour,204.6
41.6,Low,Rain,Highway,Bus,64.8,8,Thursday,Afternoon,47.3
40.0,High,Cloudy,Rural,Car,26.6,11,Wednesday,Evening,99.1
11.6,Low,Rain,City,Car,34.1,11,Wednesday,Peak Hour,37.1
40.6,Low,Clear,City,Car,54.6,20,Friday,Evening,53.6
42.8,High,Clear,Highway,Car,62.1,10,Friday,Night,53.2
15.9,High,Clear,City,Car,34.6,15,Saturday,Afternoon,38.7
47.7,Medium,Clear,Highway,Car,68.6,9,Friday,Evening,46.8
4.4,Medium,Cloudy,City,Bike,46.7,9,Monday,Morning,10.9
9.2,Medium,Rain,Rural,Bike,44.1,4,Friday,Morning,19.2
27.8,Low,Clear,City,Car,47.4,16,Monday,Morning,41.5
29.6,Low,Clear,Highway,Bike,74.0,6,Friday,Morning,28.4
33.0,Medium,Clear,Highway,Car,66.7,7,Saturday,Peak Hour,34.9
2.8,High,Rain,City,Car,26.2,11,Saturday,Afternoon,18.2
48.1,High,Clear,Highway,Bike,57.8,11,Monday,Evening,60.4
4.1,High,Cloudy,Highway,Bike,59.0,5,Thursday,Night,10.7
8.9,Low,Clear,City,Bike,49.0,11,Saturday,Evening,21.8
2.7,Medium,Clear,City,Car,41.5,9,Thursday,Morning,11.3
29.2,Low,Fog,Highway,Bike,77.5,6,Wednesday,Night,29.9
46.7,Medium,Fog,Rural,Bike,33.0,10,Monday,Evening,95.4
34.0,Medium,Clear,Highway,Bike,76.6,7,Sunday,Night,32.3
41.5,High,Fog,Rural,Bike,29.9,11,Saturday,Night,99.2
2.6,Medium,Cloudy,Highway,Bus,51.5,2,Tuesday,Peak Hour,9.1
28.0,Low,Rain,Rural,Bike,55.8,7,Wednesday,Evening,35.7
24.1,Low,Clear,City,Bike,54.2,15,Thursday,Afternoon,32.8
26.0,High,Cloudy,City,Bus,15.0,17,Saturday,Evening,118.2
5.5,Medium,Clear,Rural,Bike,54.1,4,Monday,Morning,12.3
34.9,Low,Cloudy,Highway,Car,72.9,7,Sunday,Peak Hour,34.9
26.2,Low,Clear,Rural,Bike,66.7,7,Friday,Morning,24.9
38.7,Medium,Clear,City,Car,40.9,19,Sunday,Afternoon,66.3
25.3,Low,Clear,City,Car,44.9,15,Tuesday,Night,43.6
9.2,High,Cloudy,Highway,Bike,55.5,5,Thursday,Evening,16.6
33.1,Medium,Clear,City,Bus,35.6,17,Wednesday,Afternoon,66.9
10.3,Low,Cloudy,Highway,Bus,66.2,3,Sunday,Evening,12.5
43.9,Low,Fog,City,Car,32.6,21,Monday,Peak Hour,101.8
31.4,High,Clear,City,Car,35.1,19,Tuesday,Afternoon,68.4
9.5,Medium,Cloudy,City,Car,33.2,11,Monday,Peak Hour,25.0
48.2,Medium,Clear,City,Bus,32.4,22,Saturday,Morning,98.2
26.9,High,Rain,City,Bus,15.0,18,Friday,Night,125.4
5.5,High,Clear,Highway,Bike,52.8,5,Wednesday,Night,13.2
32.1,High,Cloudy,Highway,Bike,59.3,9,Monday,Morning,42.9
14.2,High,Rain,Highway,Bike,53.7,6,Thursday,Afternoon,26.4
40.6,Medium,Rain,Highway,Bike,68.6,8,Saturday,Morning,43.4
41.3,Low,Cloudy,Highway,Car,76.4,8,Saturday,Night,36.4
49.0,High,Clear,Highway,Car,53.7,11,Wednesday,Evening,61.3
26.1,Medium,Cloudy,Rural,Bike,41.9,7,Saturday,Evening,44.0
23.8,Medium,Rain,City,Bike,33.2,15,Thursday,Morning,50.6
38.2,High,Cloudy,Highway,Car,56.9,9,Monday,Morning,56.6
8.4,Low,Clear,City,Bus,48.9,10,Wednesday,Morning,14.3
28.3,Medium,Rain,Highway,Car,61.6,6,Saturday,Afternoon,31.5
28.2,Low,Cloudy,City,Car,45.3,16,Saturday,Evening,44.5
6.3,Medium,Cloudy,City,Bike,37.8,10,Thursday,Peak Hour,22.8
22.1,Low,Clear,City,Bike,48.8,14,Friday,Evening,30.9
43.0,Low,Cloudy,City,Bike,53.5,20,Friday,Afternoon,50.8
43.1,Low,Clear,Rural,Car,49.0,9,Sunday,Peak Hour,58.7
6.8,Medium,Cloudy,Rural,Car,50.5,4,Saturday,Night,12.6
6.4,Medium,Clear,City,Bike,37.6,10,Monday,Peak Hour,23.7
14.6,Medium,Cloudy,City,Bike,40.2,12,Wednesday,Evening,28.4
44.0,High,Fog,City,Car,15.0,23,Saturday,Afternoon,196.7
8.2,Medium,Clear,Highway,Bike,77.8,3,Tuesday,Morning,10.2
36.6,Low,Fog,City,Car,46.3,18,Wednesday,Night,57.2
6.9,High,Clear,Highway,Bike,59.0,5,Sunday,Morning,16.7
31.9,Low,Rain,City,Bike,45.6,17,Friday,Afternoon,51.9
19.1,High,Rain,City,Car,17.9,15,Saturday,Evening,80.6
39.9,Low,Cloudy,Highway,Car,77.1,8,Thursday,Evening,34.4
13.2,High,Cloudy,Rural,Bike,34.8,7,Tuesday,Evening,31.1
32.7,Low,Rain,Rural,Bike,45.7,8,Saturday,Morning,50.5
13.3,High,Clear,City,Bike,38.4,14,Sunday,Afternoon,31.4
36.3,Medium,Clear,City,Bike,45.0,18,Monday,Evening,56.0
43.9,High,Cloudy,Rural,Bike,25.0,11,Tuesday,Peak Hour,122.2
8.1,Low,Rain,Highway,Bus,61.6,3,Sunday,Night,10.6
43.6,Medium,Rain,City,Car,30.3,20,Saturday,Peak Hour,98.5
30.5,High,Rain,Highway,Car,55.8,8,Monday,Night,43.6
8.1,Medium,Clear,City,Car,40.8,10,Tuesday,Evening,16.1
22.5,Medium,Rain,Highway,Car,61.3,5,Monday,Morning,31.6
9.7,Medium,Clear,Rural,Bike,52.3,4,Monday,Evening,13.5
35.6,Medium,Cloudy,Rural,Car,43.5,8,Tuesday,Evening,56.1
38.4,Medium,Clear,Highway,Bus,63.5,7,Tuesday,Evening,40.1
7.1,Medium,Clear,City,Bike,38.5,10,Monday,Evening,17.3
26.3,High,Clear,Rural,Bike,36.8,9,Sunday,Evening,51.3
41.1,Low,Clear,City,Car,54.0,20,Friday,Afternoon,52.1
46.9,Low,Cloudy,Rural,Car,53.8,10,Tuesday,Evening,54.1
26.6,High,Clear,City,Car,33.5,18,Saturday,Morning,66.0
47.6,High,Clear,City,Car,25.3,24,Wednesday,Night,130.7
27.7,Medium,Clear,Highway,Car,69.8,6,Thursday,Morning,28.8
20.9,Medium,Clear,Highway,Bike,71.3,5,Monday,Morning,23.4
42.7,Low,Clear,City,Bus,42.0,20,Monday,Afternoon,66.3
25.7,Low,Clear,City,Bus,33.1,15,Thursday,Evening,55.8
24.7,Medium,Cloudy,City,Bike,40.0,15,Friday,Afternoon,44.6
25.5,Medium,Cloudy,City,Car,31.3,15,Thursday,Afternoon,52.7
42.6,Medium,Cloudy,City,Bus,28.8,20,Tuesday,Evening,96.3
41.9,Low,Clear,Rural,Bus,54.9,9,Thursday,Afternoon,50.6
21.4,High,Clear,Rural,Car,23.1,8,Monday,Peak Hour,70.7
18.0,High,Rain,City,Bike,22.3,15,Thursday,Peak Hour,64.7
25.6,Medium,Cloudy,City,Car,44.0,15,Wednesday,Evening,45.0
29.5,Medium,Clear,City,Bike,45.2,16,Saturday,Afternoon,48.2
13.4,Low,Clear,City,Bus,39.4,12,Tuesday,Night,25.6
40.1,High,Clear,Rural,Car,49.3,11,Thursday,Morning,63.2
25.4,Medium,Clear,Highway,Bus,53.7,6,Monday,Evening,32.9
18.0,Low,Clear,Highway,Bike,85.1,5,Sunday,Afternoon,15.5
7.1,High,Cloudy,Rural,Bus,19.7,6,Saturday,Peak Hour,34.0
13.5,High,Cloudy,City,Car,30.4,14,Tuesday,Morning,36.1
47.6,High,Cloudy,City,Bike,28.4,24,Monday,Evening,119.0
16.6,Medium,Rain,Rural,Car,40.0,5,Friday,Night,30.3
10.1,Medium,Rain,Highway,Car,55.2,3,Wednesday,Evening,13.7
24.1,Medium,Cloudy,Rural,Car,45.6,6,Friday,Morning,37.3
16.7,High,Fog,City,Bus,15.0,15,Wednesday,Peak Hour,93.3
3.7,High,Clear,City,Bike,30.2,11,Thursday,Evening,19.6
17.5,Low,Clear,City,Bus,36.7,13,Tuesday,Evening,32.2
28.1,Low,Clear,Rural,Bus,46.0,7,Thursday,Afternoon,39.9
28.5,Medium,Cloudy,Highway,Car,69.0,6,Wednesday,Evening,28.5
19.1,High,Rain,City,Car,18.0,15,Wednesday,Afternoon,85.5
23.5,High,Clear,City,Car,22.9,17,Wednesday,Morning,75.7
48.3,Low,Rain,City,Car,41.3,22,Saturday,Morning,75.7
20.1,Medium,Clear,City,Car,40.3,14,Monday,Night,37.7
14.4,Medium,Rain,Highway,Car,55.0,4,Tuesday,Afternoon,26.3
13.7,High,Clear,Highway,Car,59.3,6,Thursday,Morning,21.2
24.0,High,Clear,City,Car,20.8,17,Thursday,Evening,79.2
38.5,High,Clear,City,Car,34.8,21,Friday,Night,86.1
11.9,Medium,Clear,Highway,Car,72.1,4,Wednesday,Morning,14.0
36.0,Medium,Clear,Highway,Bus,57.4,7,Sunday,Evening,41.3
3.0,Low,Clear,Rural,Bike,62.0,3,Wednesday,Morning,4.6
22.1,Low,Rain,Highway,Bus,63.6,5,Wednesday,Morning,21.9
39.2,High,Cloudy,Rural,Car,37.5,11,Sunday,Morning,72.2
18.3,High,Clear,City,Car,27.9,15,Thursday,Night,51.7
29.1,High,Cloudy,City,Bike,29.1,18,Friday,Morning,74.4
11.8,High,Cloudy,Highway,Car,55.2,6,Monday,Morning,23.9
37.6,Medium,Clear,Highway,Car,67.6,7,Sunday,Afternoon,36.6
4.5,High,Clear,City,Car,26.6,11,Saturday,Night,18.7
42.9,High,Clear,City,Car,19.7,22,Tuesday,Afternoon,142.2
11.5,High,Clear,City,Car,31.9,13,Sunday,Afternoon,29.2
44.0,Low,Cloudy,Highway,Car,78.2,8,Monday,Morning,36.0
18.9,Medium,Clear,City,Bike,38.9,13,Thursday,Evening,41.3
36.7,Low,Cloudy,City,Car,51.6,18,Saturday,Evening,52.4
17.3,High,Cloudy,City,Car,22.3,15,Saturday,Evening,64.5
45.5,Medium,Clear,City,Bike,40.9,21,Saturday,Afternoon,76.8
8.1,Low,Cloudy,City,Car,50.4,10,Wednesday,Afternoon,11.5
10.6,Medium,Clear,City,Car,41.6,11,Tuesday,Morning,22.6
25.7,Medium,Fog,Highway,Bus,51.6,6,Thursday,Afternoon,39.3
5.9,Medium,Clear,City,Car,38.3,10,Thursday,Morning,17.0
11.4,Low,Rain,Highway,Car,73.8,4,Saturday,Night,14.8
47.3,Medium,Cloudy,City,Car,28.0,22,Thursday,Peak Hour,114.5
48.9,Medium,Clear,City,Car,34.2,22,Tuesday,Peak Hour,105.4
20.1,High,Cloudy,Highway,Bike,44.4,7,Tuesday,Peak Hour,41.9
46.3,Medium,Fog,Highway,Bike,58.3,9,Friday,Evening,59.0
28.2,High,Cloudy,Highway,Car,61.9,8,Sunday,Night,35.6
14.9,Medium,Rain,City,Bike,33.9,12,Sunday,Afternoon,36.9
35.7,Medium,Rain,Rural,Car,36.6,8,Friday,Evening,68.3
33.6,High,Clear,Highway,Car,53.2,9,Monday,Evening,50.9
49.5,Medium,Clear,Rural,Bike,47.1,10,Sunday,Evening,71.5
14.7,Low,Cloudy,City,Car,38.2,12,Tuesday,Night,25.3
34.3,Low,Clear,Highway,Car,79.1,7,Tuesday,Afternoon,28.6
4.5,High,Rain,Highway,Car,50.5,5,Sunday,Afternoon,17.9
7.5,Medium,Rain,City,Car,23.8,10,Tuesday,Peak Hour,35.7
2.2,Medium,Clear,City,Car,39.4,9,Friday,Morning,12.6
50.0,Low,Clear,City,Bike,52.2,22,Saturday,Evening,63.7
40.5,Low,Rain,Highway,Car,68.1,8,Saturday,Peak Hour,40.6
39.8,Low,Clear,Highway,Car,76.2,8,Thursday,Evening,31.7
26.5,Medium,Rain,City,Car,26.7,16,Saturday,Evening,74.7
16.4,Medium,Clear,Highway,Bike,73.9,4,Wednesday,Afternoon,18.3
9.3,Medium,Cloudy,Highway,Bike,74.3,3,Friday,Afternoon,9.6
15.7,Medium,Clear,Highway,Bike,72.6,4,Tuesday,Peak Hour,20.2
20.0,High,Cloudy,City,Bike,24.5,16,Sunday,Evening,58.0
38.3,Low,Clear,Rural,Bus,49.4,8,Saturday,Evening,49.6
27.9,Medium,Cloudy,City,Car,38.4,16,Friday,Morning,50.6
5.7,High,Clear,Rural,Car,34.0,6,Saturday,Morning,14.8
2.9,Medium,Cloudy,Highway,Bike,64.1,2,Monday,Peak Hour,11.0
6.9,Medium,Rain,City,Bus,18.1,10,Tuesday,Afternoon,34.6
21.7,High,Clear,Highway,Bus,39.9,7,Monday,Evening,41.3
46.8,High,Clear,City,Car,29.5,23,Tuesday,Morning,110.0
32.6,Low,Clear,Rural,Car,58.5,8,Friday,Night,36.9
40.5,High,Cloudy,City,Car,17.8,22,Thursday,Peak Hour,154.9
24.4,Medium,Cloudy,City,Bike,38.9,15,Saturday,Evening,45.1
19.4,Low,Cloudy,City,Car,43.1,14,Saturday,Morning,31.4
7.2,Medium,Clear,Highway,Car,66.8,3,Wednesday,Evening,9.8
44.0,High,Clear,Rural,Bike,38.1,11,Sunday,Night,78.9
39.6,Medium,Cloudy,City,Car,42.6,19,Monday,Afternoon,66.1
10.1,Low,Clear,City,Bus,28.6,11,Saturday,Peak Hour,29.6
26.6,Medium,Fog,City,Car,24.2,16,Friday,Evening,77.2
25.4,Low,Clear,City,Car,37.8,15,Thursday,Peak Hour,49.4
32.0,Low,Cloudy,Highway,Car,76.3,7,Sunday,Evening,28.1
47.4,Low,Clear,City,Bike,53.7,22,Friday,Morning,60.7
29.8,Low,Clear,Highway,Car,77.9,6,Monday,Afternoon,28.6
27.9,Low,Cloudy,City,Car,50.4,16,Wednesday,Morning,40.1
4.4,Low,Cloudy,City,Bus,31.1,9,Saturday,Peak Hour,20.8
5.0,Medium,Fog,City,Car,30.1,9,Friday,Night,18.6
11.0,Low,Clear,City,Bike,51.1,11,Sunday,Night,19.3
3.6,Low,Clear,City,Bike,49.4,9,Tuesday,Afternoon,8.9
37.7,High,Cloudy,Highway,Car,55.4,9,Thursday,Morning,52.3
36.7,Medium,Cloudy,City,Bike,40.7,18,Sunday,Night,60.8
8.5,Medium,Clear,Highway,Car,69.5,3,Friday,Evening,10.5
42.1,Low,Clear,City,Bike,54.7,20,Thursday,Afternoon,50.9
9.4,Low,Clear,Highway,Car,77.8,3,Saturday,Evening,8.0
16.5,Low,Rain,Highway,Bike,70.5,4,Tuesday,Morning,22.2
14.0,Low,Clear,City,Car,57.6,12,Wednesday,Afternoon,18.2
19.9,Low,Clear,Highway,Bike,81.3,5,Sunday,Evening,17.3
14.2,Low,Clear,City,Car,52.8,12,Wednesday,Morning,21.1
25.5,Low,Clear,Highway,Car,68.7,6,Tuesday,Peak Hour,31.1
21.6,Low,Clear,Highway,Car,81.2,5,Thursday,Morning,19.3
49.4,Medium,Cloudy,City,Car,31.8,22,Saturday,Morning,102.5
4.7,Low,Clear,Highway,Bike,86.8,3,Friday,Morning,3.0
8.8,Medium,Rain,Highway,Car,60.6,3,Tuesday,Night,13.4
4.5,Medium,Clear,City,Bus,32.1,9,Monday,Afternoon,12.5
32.0,Medium,Cloudy,Highway,Bus,58.8,7,Thursday,Evening,37.5
4.6,Low,Rain,City,Bike,42.1,9,Wednesday,Morning,15.5
42.1,High,Cloudy,Highway,Car,52.3,10,Sunday,Morning,60.6
26.6,Medium,Cloudy,Highway,Car,65.8,6,Tuesday,Evening,30.2
27.3,Low,Clear,City,Bike,63.4,16,Wednesday,Night,29.4
29.0,High,Clear,Highway,Car,49.4,8,Thursday,Peak Hour,48.2
10.2,High,Cloudy,Highway,Car,57.4,5,Wednesday,Morning,18.8
11.5,Low,Fog,City,Bike,39.6,11,Tuesday,Evening,22.4
17.3,Low,Cloudy,Highway,Bike,81.8,4,Thursday,Peak Hour,18.6
30.5,High,Cloudy,City,Bike,23.0,19,Monday,Afternoon,98.8
12.1,Medium,Cloudy,Highway,Car,67.4,4,Tuesday,Night,17.9
7.6,Low,Clear,City,Bike,48.5,10,Friday,Morning,14.6
48.6,Low,Clear,Rural,Car,42.0,10,Saturday,Peak Hour,77.5
3.1,Medium,Cloudy,City,Car,38.2,9,Tuesday,Night,13.1
40.5,Medium,Fog,Rural,Bus,22.6,9,Thursday,Peak Hour,126.9
39.8,Medium,Clear,City,Car,38.9,19,Sunday,Night,72.6
16.3,Medium,Cloudy,Rural,Car,46.6,5,Saturday,Afternoon,28.3
8.5,Medium,Clear,Highway,Car,74.4,3,Tuesday,Peak Hour,16.4
9.0,Medium,Cloudy,City,Bus,28.0,11,Monday,Afternoon,26.3
35.5,Low,Clear,City,Bike,57.0,18,Sunday,Afternoon,45.6
32.9,Low,Clear,City,Bike,52.4,17,Monday,Night,45.8
39.6,Medium,Rain,City,Bike,38.2,19,Friday,Night,78.4
47.0,High,Clear,City,Car,19.0,23,Sunday,Peak Hour,163.0
35.2,Medium,Cloudy,Highway,Car,65.4,7,Wednesday,Morning,40.8
9.5,Medium,Rain,Highway,Car,69.3,3,Sunday,Night,12.3
13.7,Low,Rain,City,Car,46.7,12,Saturday,Night,27.0
42.4,Medium,Clear,City,Car,40.5,20,Sunday,Morning,76.2
12.0,Medium,Clear,Rural,Bus,32.8,5,Thursday,Afternoon,27.9
5.5,Low,Clear,City,Car,48.6,10,Thursday,Afternoon,11.8
35.8,Low,Fog,Rural,Car,58.8,8,Wednesday,Afternoon,43.3
21.3,Medium,Rain,City,Car,23.1,14,Sunday,Peak Hour,73.8
46.2,Low,Cloudy,Highway,Car,78.4,9,Monday,Evening,39.0
33.2,Low,Rain,Highway,Bus,69.8,7,Monday,Night,31.7
6.3,Low,Cloudy,City,Car,39.9,10,Tuesday,Peak Hour,15.6
47.5,Low,Cloudy,City,Car,43.6,22,Friday,Afternoon,71.1
14.4,Low,Clear,Highway,Bike,75.3,4,Saturday,Night,13.3
18.2,High,Rain,City,Car,22.7,15,Friday,Afternoon,58.1
21.3,Medium,Clear,Rural,Car,38.7,6,Sunday,Peak Hour,41.8
4.5,Medium,Rain,City,Car,32.7,9,Friday,Morning,18.9
25.8,High,Rain,City,Bike,15.0,17,Tuesday,Peak Hour,125.2
7.9,Medium,Cloudy,City,Bus,27.9,10,Friday,Morning,22.6
21.2,Low,Clear,Highway,Bike,85.1,5,Wednesday,Afternoon,17.5
18.8,Medium,Clear,City,Car,41.1,13,Tuesday,Night,36.1
39.1,Medium,Clear,City,Bike,40.5,19,Wednesday,Afternoon,65.3
40.6,Medium,Clear,Highway,Car,71.8,8,Sunday,Evening,38.6
9.4,Medium,Clear,City,Car,34.6,11,Tuesday,Evening,26.9
19.6,Low,Rain,City,Car,35.3,14,Sunday,Night,43.7
19.9,Low,Cloudy,City,Car,46.6,14,Sunday,Afternoon,31.5
9.3,Medium,Clear,Rural,Car,50.1,4,Friday,Morning,16.6
40.3,Medium,Clear,Highway,Bike,75.6,8,Wednesday,Afternoon,34.3
35.9,Medium,Clear,City,Bus,34.4,18,Sunday,Evening,74.2
11.1,Medium,Cloudy,City,Car,36.1,11,Wednesday,Morning,24.0
19.6,High,Cloudy,Rural,Car,34.5,8,Wednesday,Afternoon,42.8
7.1,Medium,Rain,Highway,Car,57.6,3,Tuesday,Afternoon,17.2
32.2,Low,Clear,City,Car,53.3,17,Thursday,Morning,40.1
7.8,Low,Fog,City,Bike,40.7,10,Friday,Evening,18.9
49.3,Low,Rain,Highway,Car,62.3,9,Sunday,Peak Hour,61.3
39.5,Low,Clear,Highway,Bike,77.4,8,Wednesday,Morning,32.4
20.7,Low,Rain,City,Car,44.8,14,Saturday,Evening,39.2
29.8,Low,Clear,City,Car,42.1,17,Thursday,Evening,52.6
45.7,Low,Rain,Highway,Car,69.6,9,Sunday,Afternoon,47.4
28.6,Low,Clear,City,Car,51.4,16,Saturday,Night,37.3
10.4,High,Rain,City,Car,15.2,13,Friday,Afternoon,53.6
20.2,Low,Rain,City,Bike,38.0,14,Friday,Evening,38.9
42.5,Medium,Rain,Highway,Car,53.5,8,Wednesday,Morning,54.6
32.9,Medium,Rain,Rural,Bike,49.9,8,Wednesday,Night,50.0
33.2,High,Clear,Highway,Car,52.8,9,Sunday,Evening,50.4
43.6,Low,Clear,City,Car,61.7,20,Tuesday,Morning,51.8
44.9,Medium,Clear,Highway,Car,66.0,8,Thursday,Afternoon,48.8
46.2,High,Clear,Highway,Bike,51.3,11,Sunday,Peak Hour,65.2
6.6,High,Cloudy,City,Car,22.7,12,Thursday,Afternoon,31.2
28.1,High,Clear,Highway,Bike,61.0,8,Wednesday,Evening,34.4
37.5,Low,Fog,City,Car,28.1,19,Friday,Peak Hour,101.5
38.3,Low,Cloudy,Highway,Bike,84.4,7,Wednesday,Night,28.5
31.1,Medium,Rain,City,Car,25.1,17,Friday,Evening,87.8
10.0,High,Clear,Highway,Bike,57.5,5,Sunday,Night,13.5
40.3,Medium,Rain,Highway,Bike,51.8,8,Friday,Peak Hour,61.6
36.6,Medium,Rain,Highway,Bus,42.1,7,Wednesday,Evening,59.8
6.1,Low,Clear,City,Car,44.9,10,Monday,Evening,11.6
24.3,High,Cloudy,City,Car,23.8,17,Thursday,Afternoon,75.9
10.4,Low,Rain,City,Car,31.5,11,Saturday,Peak Hour,32.2
18.2,Low,Clear,City,Bike,60.0,13,Friday,Night,22.0
2.9,Medium,Cloudy,City,Car,41.9,9,Friday,Morning,12.1
21.2,Medium,Clear,Highway,Bike,65.7,5,Monday,Peak Hour,26.0
28.4,Low,Clear,City,Car,39.8,16,Sunday,Evening,47.7
31.7,Low,Clear,Rural,Car,57.7,8,Sunday,Morning,36.3
33.8,Medium,Clear,City,Car,34.6,18,Sunday,Evening,71.6
42.1,Low,Clear,City,Bus,39.4,20,Saturday,Afternoon,73.1
12.3,Medium,Clear,Highway,Bike,64.2,4,Tuesday,Peak Hour,20.7
7.8,Low,Fog,City,Bus,27.4,10,Monday,Morning,22.4
42.9,Medium,Cloudy,City,Car,35.5,20,Saturday,Night,83.5
9.5,Medium,Fog,City,Bike,27.5,11,Monday,Evening,34.0
48.8,Low,Clear,Rural,Bike,65.8,10,Friday,Morning,50.3
42.4,Low,Clear,Highway,Car,73.4,8,Thursday,Peak Hour,45.7
26.0,Low,Cloudy,Highway,Bike,75.4,6,Monday,Evening,23.6
49.1,Low,Clear,City,Bus,47.1,22,Tuesday,Afternoon,71.3
6.7,High,Clear,City,Bus,15.0,12,Wednesday,Evening,43.5
16.5,Low,Cloudy,Highway,Bike,67.5,4,Saturday,Peak Hour,20.4
32.6,High,Clear,Highway,Car,59.5,9,Monday,Afternoon,40.6
18.8,Low,Cloudy,Highway,Car,73.7,5,Monday,Morning,20.0
46.6,Medium,Cloudy,Highway,Bus,60.3,9,Tuesday,Morning,49.5
5.2,High,Clear,City,Car,18.4,11,Thursday,Afternoon,23.4
28.4,Medium,Clear,City,Bike,50.6,16,Monday,Night,43.4
30.4,Medium,Rain,Highway,Bike,66.7,6,Monday,Evening,39.3
33.3,Medium,Clear,City,Bike,39.0,18,Thursday,Afternoon,64.9
14.3,Low,Clear,Highway,Bus,66.1,4,Tuesday,Morning,17.2
19.5,High,Fog,Highway,Car,52.7,7,Saturday,Afternoon,34.2
42.5,High,Clear,City,Car,17.1,22,Saturday,Peak Hour,169.3
11.4,High,Cloudy,Rural,Car,31.7,7,Monday,Afternoon,28.7
41.7,Low,Fog,City,Car,20.9,20,Thursday,Peak Hour,140.9
29.0,Medium,Clear,Highway,Car,65.6,6,Monday,Evening,32.6
38.6,High,Clear,Rural,Car,37.1,11,Sunday,Morning,72.7
36.3,Low,Clear,City,Bike,49.9,18,Wednesday,Peak Hour,50.8
12.0,Low,Clear,City,Bus,33.4,11,Saturday,Evening,27.0
29.3,Medium,Clear,City,Car,33.9,16,Sunday,Night,59.4
43.7,Medium,Cloudy,City,Car,30.8,20,Friday,Peak Hour,103.4
22.7,High,Clear,Highway,Bus,54.0,7,Wednesday,Morning,35.3
48.4,Low,Cloudy,Highway,Car,70.7,9,Monday,Morning,46.7
23.7,High,Fog,Highway,Car,50.3,7,Tuesday,Night,40.4
8.9,Low,Rain,Highway,Car,72.2,3,Saturday,Afternoon,13.4
20.7,Low,Cloudy,City,Bike,56.4,14,Friday,Morning,29.1
47.7,Low,Clear,City,Car,49.7,22,Wednesday,Morning,69.9
17.3,High,Cloudy,City,Bus,15.0,15,Saturday,Morning,83.7
